position,lookup_string,team_abbr
RB,"RB, BAL: O.Wright (AFC North, ID: 00-0038458)",BAL
RB,"RB, BAL: P.Ricard (AFC North, ID: 00-0033376)",BAL
RB,"RB, BUF: D.Harris (AFC East, ID: 00-0035657)",BUF
RB,"RB, BUF: J.Cook (AFC East, ID: 00-0037248)",BUF
RB,"RB, BUF: L.Fournette (AFC East, ID: 00-0033856)",BUF
RB,"RB, BUF: L.Murray (AFC East, ID: 00-0030513)",BUF
RB,"RB, BUF: N.Hines (AFC East, ID: 00-0034367)",BUF
RB,"RB, BUF: R.Gilliam (AFC East, ID: 00-0036187)",BUF
RB,"RB, BUF: T.Johnson (AFC East, ID: 00-0035537)",BUF
RB,"RB, CLE: J.Ford (AFC North, ID: 00-0037267)",CLE
RB,"RB, CLE: J.Kelly (AFC North, ID: 00-0034808)",CLE
RB,"RB, CLE: J.Wilkins (AFC North, ID: 00-0034400)",CLE
RB,"RB, CLE: K.Hunt (AFC North, ID: 00-0033923)",CLE
RB,"RB, CLE: N.Chubb (AFC North, ID: 00-0034791)",CLE
RB,"RB, CLE: N.McCrary (AFC North, ID: 00-0036582)",CLE
RB,"RB, CLE: P.Strong (AFC North, ID: 00-0038098)",CLE
RB,"RB, DAL: C.Vaughn (NFC East, ID: 00-0038622)",DAL
RB,"RB, DAL: H.Luepke (NFC East, ID: 00-0038738)",DAL
RB,"RB, DAL: M.Davis (NFC East, ID: 00-0037563)",DAL
RB,"RB, DAL: R.Dowdle (NFC East, ID: 00-0036139)",DAL
RB,"RB, DAL: R.Jones (NFC East, ID: 00-0034816)",DAL
RB,"RB, DAL: S.Thompson (NFC East, ID: 00-0038910)",DAL
RB,"RB, DAL: T.Pollard (NFC East, ID: 00-0035261)",DAL
RB,"RB, DET: B.Snell (NFC North, ID: 00-0035217)",DET
RB,"RB, DET: C.Reynolds (NFC North, ID: 00-0035567)",DET
RB,"RB, DET: D.Montgomery (NFC North, ID: 00-0035685)",DET
RB,"RB, DET: D.Ozigbo (NFC North, ID: 00-0035184)",DET
RB,"RB, DET: J.Cabinda (NFC North, ID: 00-0034171)",DET
RB,"RB, DET: J.Gibbs (NFC North, ID: 00-0039139)",DET
RB,"RB, DET: J.Jackson (NFC North, ID: 00-0034440)",DET
RB,"RB, DET: J.Jefferson (NFC North, ID: 00-0036670)",DET
RB,"RB, DET: M.Ibrahim (NFC North, ID: 00-0038656)",DET
RB,"RB, DET: Z.Knight (NFC North, ID: 00-0037157)",DET
RB,"RB, GB: A.Dillon (NFC North, ID: 00-0036265)",GB
RB,"RB, GB: A.Jones (NFC North, ID: 00-0033293)",GB
RB,"RB, GB: E.Merriweather (NFC North, ID: 00-0038965)",GB
RB,"RB, GB: E.Wilson (NFC North, ID: 00-0038797)",GB
RB,"RB, GB: K.Drake (NFC North, ID: 00-0033118)",GB
RB,"RB, GB: P.Taylor (NFC North, ID: 00-0035973)",GB
RB,"RB, HOU: A.Beck (AFC South, ID: 00-0034959)",HOU
RB,"RB, HOU: D.Pierce (AFC South, ID: 00-0037258)",HOU
RB,"RB, HOU: D.Singletary (AFC South, ID: 00-0035250)",HOU
RB,"RB, HOU: G.Doaks (AFC South, ID: 00-0036578)",HOU
RB,"RB, HOU: J.Taylor (AFC South, ID: 00-0036096)",HOU
RB,"RB, HOU: L.Rountree (AFC South, ID: 00-0036650)",HOU
RB,"RB, HOU: O.Ogunbowale (AFC South, ID: 00-0033854)",HOU
RB,"RB, HOU: T.Hairston (AFC South, ID: 00-0037456)",HOU
RB,"RB, KC: C.Edwards-Helaire (AFC West, ID: 00-0036360)",KC
RB,"RB, KC: D.Prince (AFC West, ID: 00-0038518)",KC
RB,"RB, KC: I.Pacheco (AFC West, ID: 00-0037197)",KC
RB,"RB, KC: J.Ealy (AFC West, ID: 00-0037210)",KC
RB,"RB, KC: J.McKinnon (AFC West, ID: 00-0031376)",KC
RB,"RB, KC: K.Ingram (AFC West, ID: 00-0037299)",KC
RB,"RB, KC: L.Perine (AFC West, ID: 00-0036269)",KC
RB,"RB, LA: D.Henderson (NFC West, ID: 00-0035664)",LA
RB,"RB, LA: K.Williams (NFC West, ID: 00-0037840)",LA
RB,"RB, LA: R.Freeman (NFC West, ID: 00-0034838)",LA
RB,"RB, LA: R.Rivers (NFC West, ID: 00-0037557)",LA
RB,"RB, LA: S.Michel (NFC West, ID: 00-0034845)",LA
RB,"RB, LA: Z.Evans (NFC West, ID: 00-0039136)",LA
RB,"RB, MIA: A.Ingold (AFC East, ID: 00-0035125)",MIA
RB,"RB, MIA: C.Brooks (AFC East, ID: 00-0038685)",MIA
RB,"RB, MIA: D.Achane (AFC East, ID: 00-0039040)",MIA
RB,"RB, MIA: D.Evans (AFC East, ID: 00-0036297)",MIA
RB,"RB, MIA: D.Mostert (AFC East, ID: 00-0031687)",MIA
RB,"RB, MIA: J.Wilson (AFC East, ID: 00-0034115)",MIA
RB,"RB, MIA: S.Ahmed (AFC East, ID: 00-0036020)",MIA
RB,"RB, PHI: A.Nichols (NFC East, ID: 00-0038409)",PHI
RB,"RB, PHI: B.Scott (NFC East, ID: 00-0034414)",PHI
RB,"RB, PHI: D.Swift (NFC East, ID: 00-0036275)",PHI
RB,"RB, PHI: K.Brooks (NFC East, ID: 00-0037131)",PHI
RB,"RB, PHI: K.Gainwell (NFC East, ID: 00-0036919)",PHI
