position,lookup_string,team_abbr
RB,"RB, BAL: G.Edwards (AFC North, ID: 00-0034184)",BAL
RB,"RB, BAL: J.Dobbins (AFC North, ID: 00-0036158)",BAL
RB,"RB, BAL: J.Hill (AFC North, ID: 00-0034975)",BAL
RB,"RB, BAL: K.Drake (AFC North, ID: 00-0033118)",BAL
RB,"RB, BAL: M.Davis (AFC North, ID: 00-0032063)",BAL
RB,"RB, BAL: P.Ricard (AFC North, ID: 00-0033376)",BAL
RB,"RB, BAL: R.Person (AFC North, ID: 00-0037182)",BAL
RB,"RB, BUF: D.Singletary (AFC East, ID: 00-0035250)",BUF
RB,"RB, BUF: J.Cook (AFC East, ID: 00-0037248)",BUF
RB,"RB, BUF: N.Hines (AFC East, ID: 00-0034367)",BUF
RB,"RB, BUF: R.Gilliam (AFC East, ID: 00-0036187)",BUF
RB,"RB, BUF: R.Johnson (AFC East, ID: 00-0032257)",BUF
RB,"RB, BUF: T.Jones (AFC East, ID: 00-0028063)",BUF
RB,"RB, CLE: D.Felton (AFC North, ID: 00-0036654)",CLE
RB,"RB, CLE: D.Johnson (AFC North, ID: 00-0035628)",CLE
RB,"RB, CLE: J.Ford (AFC North, ID: 00-0037267)",CLE
RB,"RB, CLE: J.Kelly (AFC North, ID: 00-0034808)",CLE
RB,"RB, CLE: J.Stanton (AFC North, ID: 00-0034311)",CLE
RB,"RB, CLE: K.Hunt (AFC North, ID: 00-0033923)",CLE
RB,"RB, CLE: N.Chubb (AFC North, ID: 00-0034791)",CLE
RB,"RB, DAL: E.Elliott (NFC East, ID: 00-0033045)",DAL
RB,"RB, DAL: M.Davis (NFC East, ID: 00-0037563)",DAL
RB,"RB, DAL: N.Ralston (NFC East, ID: 00-0036774)",DAL
RB,"RB, DAL: Q.Ollison (NFC East, ID: 00-0035273)",DAL
RB,"RB, DAL: R.Dowdle (NFC East, ID: 00-0036139)",DAL
RB,"RB, DAL: R.Nall (NFC East, ID: 00-0034597)",DAL
RB,"RB, DAL: T.Pollard (NFC East, ID: 00-0035261)",DAL
RB,"RB, DET: C.Reynolds (NFC North, ID: 00-0035567)",DET
RB,"RB, DET: D.Swift (NFC North, ID: 00-0036275)",DET
RB,"RB, DET: G.Bell (NFC North, ID: 00-0037437)",DET
RB,"RB, DET: J.Cabinda (NFC North, ID: 00-0034171)",DET
RB,"RB, DET: J.Jackson (NFC North, ID: 00-0034440)",DET
RB,"RB, DET: J.Jefferson (NFC North, ID: 00-0036670)",DET
RB,"RB, DET: J.Williams (NFC North, ID: 00-0033948)",DET
RB,"RB, GB: A.Dillon (NFC North, ID: 00-0036265)",GB
RB,"RB, GB: A.Jones (NFC North, ID: 00-0033293)",GB
RB,"RB, GB: D.Williams (NFC North, ID: 00-0034995)",GB
RB,"RB, GB: K.Hill (NFC North, ID: 00-0036669)",GB
RB,"RB, GB: P.Taylor (NFC North, ID: 00-0035973)",GB
RB,"RB, GB: T.Goodson (NFC North, ID: 00-0037120)",GB
RB,"RB, HOU: A.Janovich (AFC South, ID: 00-0032956)",HOU
RB,"RB, HOU: D.Anderson (AFC South, ID: 00-0036027)",HOU
RB,"RB, HOU: D.Pierce (AFC South, ID: 00-0037258)",HOU
RB,"RB, HOU: G.Doaks (AFC South, ID: 00-0036578)",HOU
RB,"RB, HOU: M.Burkhead (AFC South, ID: 00-0030288)",HOU
RB,"RB, HOU: O.Ogunbowale (AFC South, ID: 00-0033854)",HOU
RB,"RB, HOU: P.Quessenberry (AFC South, ID: 00-0036453)",HOU
RB,"RB, HOU: R.Freeman (AFC South, ID: 00-0034838)",HOU
RB,"RB, HOU: S.Phillips (AFC South, ID: 00-0036069)",HOU
RB,"RB, HOU: T.Hairston (AFC South, ID: 00-0037456)",HOU
RB,"RB, KC: C.Edwards-Helaire (AFC West, ID: 00-0036360)",KC
RB,"RB, KC: I.Pacheco (AFC West, ID: 00-0037197)",KC
RB,"RB, KC: J.Ealy (AFC West, ID: 00-0037210)",KC
RB,"RB, KC: J.McKinnon (AFC West, ID: 00-0031376)",KC
RB,"RB, KC: L.Perine (AFC West, ID: 00-0036269)",KC
RB,"RB, KC: M.Burton (AFC West, ID: 00-0031595)",KC
RB,"RB, KC: M.Gordon (AFC West, ID: 00-0032144)",KC
RB,"RB, KC: R.Jones (AFC West, ID: 00-0034816)",KC
RB,"RB, KC: T.Fleet-Davis (AFC West, ID: 00-0037211)",KC
RB,"RB, LA: C.Akers (NFC West, ID: 00-0036414)",LA
RB,"RB, LA: K.Williams (NFC West, ID: 00-0037840)",LA
RB,"RB, LA: M.Brown (NFC West, ID: 00-0031806)",LA
RB,"RB, LA: R.Calais (NFC West, ID: 00-0036435)",LA
RB,"RB, LA: R.Rivers (NFC West, ID: 00-0037557)",LA
RB,"RB, LA: T.Ragas (NFC West, ID: 00-0036523)",LA
RB,"RB, LA: X.Jones (NFC West, ID: 00-0036078)",LA
RB,"RB, MIA: A.Ingold (AFC East, ID: 00-0035125)",MIA
RB,"RB, MIA: D.Mostert (AFC East, ID: 00-0031687)",MIA
RB,"RB, MIA: J.Bargas (AFC East, ID: 00-0035975)",MIA
RB,"RB, MIA: J.Wilson (AFC East, ID: 00-0034115)",MIA
RB,"RB, MIA: M.Gaskin (AFC East, ID: 00-0035311)",MIA
RB,"RB, MIA: S.Ahmed (AFC East, ID: 00-0036020)",MIA
RB,"RB, MIA: Z.White (AFC East, ID: 00-0037357)",MIA
